"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_off_rank","TEPA_off_rank","EPAgame_off_rank","EPAplay_off_rank","success_off_rank","start_position_off_rank","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_def_rank","TEPA_def_rank","EPAgame_def_rank","EPAplay_def_rank","success_def_rank","start_position_def_rank","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
2005,"Air Force","AFA",2014,1148,95.6666666666667,90.7118166308741,0.0790172618735837,7.55931805257284,0.39808362369338,68.6881533101045,29,93,97,102,49,22,1047,87.25,136.605147171837,0.130472919934897,11.3837622643198,0.347659980897803,73.4011461318052,29.5,66,62,68,16,16,-45.893330540963,-0.0514556580613132,-3.82444421174692,0.0504236427955765,4.71299282170064,104,101,105,22,8
2006,"Akron","AKR",2014,1061,96.4545454545455,21.1037551607627,0.019890438417307,1.91852319643297,0.363807728557964,66.7615457115928,25,119,119,120,91,4,1014,92.1818181818182,75.2939043663202,0.0742543435565288,6.8449003969382,0.397435897435897,70.1913214990138,75,28,28,27,72,73,-54.1901492055575,-0.0543639051392218,-4.92637720050523,-0.0336281688779332,3.42977578742098,109,109,108,93,20
333,"Alabama","ALA",2014,1139,87.6153846153846,140.681354818934,0.123513041983261,10.8216426783795,0.464442493415277,70.0517998244074,92,56,72,67,3,43,1155,88.8461538461538,172.138372673874,0.149037552098592,13.2414132826057,0.357575757575758,71.8554112554113,40,101,85,90,20,41,-31.4570178549397,-0.0255245101153312,-2.41977060422613,0.106866735839519,1.80361143100389,91,91,92,4,40
2026,"Appalachian State","APP",2014,958,95.8,171.066056212396,0.178565820680997,17.1066056212396,0.387265135699374,68.6356993736952,28,32,13,21,61,19,831,83.1,77.958443713093,0.0938128083190048,7.7958443713093,0.383874849578821,67.7749699157641,10,29,33,38,59,118,93.1076124993025,0.0847530123619926,9.31076124993026,0.00339028612055303,-0.860729457931058,5,2,4,63,71
12,"Arizona","ARIZ",2014,1451,103.642857142857,219.039934752797,0.150957915060508,15.6457096251998,0.37973811164714,70.7188146106134,7,4,24,41,72,58,1438,102.714285714286,120.531276547035,0.0838186902274238,8.60937689621682,0.37413073713491,72.6988873435327,127,56,38,33,44,25,98.5086582057617,0.0671392248330842,7.03633272898298,0.00560737451223031,1.98007273291933,4,9,14,60,35
9,"Arizona State","ASU",2014,995,90.4545454545455,80.28081222142,0.0806842333883618,7.29825565649273,0.38391959798995,69.4221105527638,65,99,102,100,65,28,1093,99.3636363636364,113.969056695962,0.104271781057605,10.3608233359965,0.363220494053065,73.9734675205855,120,50,52,43,28,9,-33.6882444745417,-0.0235875476692427,-3.06256767950379,0.0206991039368848,4.55135696782172,96,98,90,47,9
8,"Arkansas","ARK",2014,1063,88.5833333333333,73.7589376931829,0.069387523700078,6.14657814109858,0.388523047977422,69.8165569143932,79,104,106,106,59,38,969,80.75,142.241842267072,0.146792406880363,11.8534868555893,0.368421052631579,72.5727554179567,3,74,70,88,38,27,-68.4829045738889,-0.0774048831802851,-5.70690871449074,0.0201019953458434,2.75619850356343,115,115,117,48,27
2032,"Arkansas State","ARST",2014,1099,99.9090909090909,146.054986707525,0.132898077076911,13.2777260643205,0.401273885350318,69.9199272065514,9,51,47,54,45,39,1062,96.5454545454545,145.312875999303,0.136829450093505,13.2102614544821,0.374764595103578,69.3446327683616,103,78,84,78,47,100,0.742110708222356,-0.00393137301659449,0.067464609838396,0.0265092902467403,-0.575294438189829,68,68,70,36,68
349,"Army","ARMY",2014,739,82.1111111111111,67.7389035399951,0.091662927658992,7.52654483777723,0.39106901217862,71.1190798376184,123,105,98,89,56,68,712,79.1111111111111,143.391712825886,0.201392855092537,15.9324125362096,0.467696629213483,68.9466292134831,2,75,111,117,123,107,-75.6528092858912,-0.109729927433545,-8.40586769843236,-0.0766276170348634,-2.17245062413525,118,124,126,114,91
2,"Auburn","AUB",2014,1062,88.5,209.073783764782,0.196867969646687,17.4228153137318,0.455743879472693,69.6271186440678,81,12,11,10,9,34,1079,89.9166666666667,143.635818598489,0.133119387023623,11.9696515498741,0.379981464318814,71.7145505097312,54.5,77,73,71,53,46,65.4379651662926,0.0637485826230642,5.45316376385771,0.0757624151538793,2.08743186566345,15,14,17,10,32
2050,"Ball State","BALL",2014,877,87.7,134.776003533855,0.153678453288318,13.4776003533855,0.396807297605473,70.1995438996579,91,61,43,36,50,47,937,93.7,66.4347906669454,0.0709015908932181,6.64347906669454,0.433297758804696,70.6296691568837,87,22,26,25,107,63,68.3412128669093,0.0827768623950997,6.83412128669093,-0.0364904611992226,0.43012525722574,13,11,5,95,52
239,"Baylor","BAY",2014,1287,107.25,198.902173514396,0.154547143367829,16.5751811261997,0.453768453768454,69.3333333333333,1,15,15,34,10,27,1169,97.4166666666667,258.8421095795,0.221421821710436,21.5701757982916,0.387510692899914,73.6484174508127,114,126,125,126,62,13,-59.9399360651034,-0.0668746783426067,-4.99499467209195,0.0662577608685393,4.31508411747933,112,110,114,15,11
68,"Boise State","BSU",2014,1319,94.2142857142857,171.582541794714,0.130085323574461,12.2558958424796,0.432145564821835,68.4927975739196,35,31,58,56,23,18,1226,94.3076923076923,140.508272681301,0.114607073965172,10.8083286677924,0.317292006525285,72.963295269168,94,72,57,55,3,22,31.0742691134131,0.0154782496092889,1.44756717468719,0.114853558296549,4.4704976952484,33,51,55,2,10
103,"Boston College","BC",2014,1026,85.5,103.565246924879,0.100940786476491,8.63043724373995,0.37037037037037,70.7992202729045,106,83,88,84,84,61,997,83.0833333333333,140.947489342633,0.141371604155098,11.7456241118861,0.367101303911735,71.4714142427282,9,73,68,80,36,50,-37.3822424177533,-0.0404308176786074,-3.11518686814611,0.00326906645863512,0.672193969823709,99,99,99,64,47
189,"Bowling Green","BGSU",2014,1349,103.769230769231,153.560136244419,0.113832569491786,11.8123181726476,0.375092661230541,71.5485544848036,6,42,62,76,76,75,1329,102.230769230769,161.820290487617,0.121760940923715,12.4477146528936,0.438675696012039,69.0451467268623,125,90,75,59,111,105,-8.26015424319854,-0.00792837143192947,-0.635396480246042,-0.063583034781498,-2.50340775794126,79,79,76,108,98
2084,"Buffalo","BUFF",2014,837,93,156.635101606994,0.187138711597365,17.4039001785549,0.412186379928315,70.7120669056153,43,41,12,15,36,57,788,87.5555555555556,125.233891241413,0.158926257920575,13.9148768046015,0.379441624365482,69.4746192893401,32,59,93,99,52,96,31.4012103655813,0.0282124536767899,3.48902337395348,0.0327447555628332,-1.23744761627519,32,28,40,31,80
252,"BYU","BYU",2014,1178,98.1666666666667,168.322630364747,0.142888480785015,14.0268858637289,0.410865874363328,72.3862478777589,17,35,37,51,39,98,1246,103.833333333333,156.704240868439,0.125765843393611,13.0586867390366,0.374799357945425,70.1364365971108,128,87,82,63,48,78,11.6183894963084,0.017122637391404,0.968199124692363,0.0360665164179023,-2.24981128064816,58,58,53,30,92
25,"California","CAL",2014,1161,105.545454545455,216.616464925355,0.186577489169126,19.692405902305,0.419465977605512,71.4823428079242,4,6,5,16,31,73,1126,102.363636363636,248.637273462943,0.220814630073662,22.6033884966312,0.440497335701599,70.9378330373002,126,125,128,125,114,56,-32.0208085375881,-0.0342371409045359,-2.91098259432619,-0.0210313580960861,-0.544509770624018,94,96,96,83,67
2117,"Central Michigan","CMU",2014,1013,84.4166666666667,152.232163814689,0.150278542758825,12.6860136512241,0.433366238894373,72.035538005923,111,44,53,42,20,90,1014,84.5,108.856476462197,0.107353527083035,9.07137303851645,0.380670611439842,68.258382642998,16,44,43,47,54,113,43.375687352492,0.0429250156757898,3.61464061270767,0.0526956274545309,-3.77715536292497,26,27,27,18,112
2132,"Cincinnati","CIN",2014,1086,90.5,196.716405921558,0.181138495323718,16.3930338267965,0.430939226519337,73.9364640883978,64,18,20,20,24,117,1135,94.5833333333333,163.823168415319,0.144337593317461,13.6519307012765,0.418502202643172,70.6211453744493,97,91,90,84,98,64,32.893237506239,0.0368009020062566,2.74110312551992,0.0124370238761652,-3.31531871394844,29,33,33,57,106
228,"Clemson","CLEM",2014,1115,92.9166666666667,47.2321729368286,0.0423606932168867,3.93601441140239,0.369506726457399,70.8663677130045,44,110,113,113,86,64,1068,89,95.3015379504676,0.0892336497663555,7.94179482920564,0.291198501872659,69.4803370786517,43.5,40,35,37,1,95,-48.069365013639,-0.0468729565494688,-4.00578041780325,0.07830822458474,-1.38603063435279,106,103,103,9,81
38,"Colorado","COLO",2014,1256,104.666666666667,161.459509981318,0.12855056527175,13.4549591651098,0.400477707006369,74.0971337579618,5,39,45,58,47,119,1070,89.1666666666667,225.958288319779,0.211175970392317,18.8298573599816,0.408411214953271,71.4028037383178,46,120,120,121,86,52,-64.4987783384609,-0.0826254051205667,-5.37489819487174,-0.00793350794690162,-2.69433001964403,113,113,119,72,101
36,"Colorado State","CSU",2014,957,87,207.357288914932,0.216674283087703,18.8506626286302,0.396029258098224,74.7032392894462,99,13,8,4,52,124,1030,93.6363636363636,149.978214816333,0.14560991729741,13.6343831651211,0.388349514563107,72.5456310679612,86,81,89,86,64,28,57.3790740985993,0.0710643657902929,5.21627946350903,0.0076797435351168,-2.15760822148502,18,19,12,59,90
41,"Connecticut","CONN",2014,823,82.3,74.5662631325545,0.0906029928706616,7.45662631325545,0.32685297691373,71.6962332928311,121,103,99,92,122,81,907,90.7,23.9202457834953,0.0263729280964667,2.39202457834953,0.399117971334068,69.6130099228225,63,14,14,14,75,92,50.6460173490592,0.0642300647741949,5.06460173490592,-0.0722649944203381,-2.08322337000862,20,20,16,112,88
150,"Duke","DUKE",2014,1075,89.5833333333333,114.567632172747,0.106574541556044,9.54730268106228,0.39906976744186,67.4390697674419,70,76,81,81,48,7,1142,95.1666666666667,94.2177610514742,0.08250241773334,7.85148008762285,0.415061295971979,73.5105078809107,98,38,34,31,93,15,20.3498711212732,0.0240721238227041,1.69582259343943,-0.0159915285301185,6.07143811346882,46,47,45,78,3
151,"East Carolina","ECU",2014,1232,102.666666666667,109.411630304642,0.0888081414810408,9.11763585872019,0.448051948051948,71.4448051948052,8,81,83,94,13,71,1166,97.1666666666667,153.730530079926,0.131844365420177,12.8108775066605,0.364493996569468,72.3456260720412,111,83,78,70,32,30,-44.3188997752838,-0.0430362239391359,-3.69324164794032,0.0835579514824797,0.900820877235972,101,100,101,8,46
2199,"Eastern Michigan","EMU",2014,928,84.3636363636364,152.570413484542,0.164407773151446,13.8700375895038,0.324353448275862,73.46875,112,43,39,29,124,112,1008,91.6363636363636,123.20232341028,0.122224527192739,11.2002112191164,0.415674603174603,69.1646825396825,69,58,60,60,94,103,29.3680900742618,0.0421832459587079,2.66982637038744,-0.0913211548987412,-4.30406746031746,36,35,28,122,119
57,"Florida","FLA",2014,971,88.2727272727273,-5.50275554019888,-0.00566710148321202,-0.500250503654443,0.363542739443872,68.0998970133883,86,126,126,126,92,13,1015,92.2727272727273,10.0291313326836,0.0098809175691464,0.911739212062145,0.359605911330049,72.3379310344828,76,8,8,8,24,31,-15.5318868728825,-0.0155480190523584,-1.41198971571659,0.00393682811382301,4.23803402109451,83,83,83,62,12
2226,"Florida Atlantic","FAU",2014,790,87.7777777777778,102.39944605481,0.129619551968114,11.3777162283123,0.388607594936709,72.046835443038,90,85,64,57,58,91,825,91.6666666666667,174.746386084568,0.211813801314627,19.4162651205075,0.436363636363636,72.4036363636364,70.5,102,121,122,110,29,-72.3469400297573,-0.0821942493465131,-8.03854889219526,-0.0477560414269275,0.356800920598388,117,123,118,100,56
2229,"Florida International","FIU",2014,795,88.3333333333333,76.5654483335481,0.0963087400421989,8.5072720370609,0.333333333333333,71.9182389937107,84,102,90,87,118,88,805,89.4444444444444,-27.7654124702727,-0.0344911956152456,-3.0850458300303,0.363975155279503,67.9689440993789,49,2,2,2,31,117,104.330860803821,0.130799935657445,11.5923178670912,-0.0306418219461698,-3.9492948943318,1,1,1,91,115
